,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
40,,,,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,NTL MOBILE,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,ONE2ONE,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,ORANGE,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,ONE.TEL,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,SPECTRUMCO,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,TELEFONICA,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,TIW,TIW,TIW,TIW,TIW,TIW,TIW,TIW,TIW,TIW,TIW,TIW,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,TIW,TIW,TIW,TIW,TIW,TIW,TIW,TIW,TIW,TIW,TIW,TIW,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,VODAFONE,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,Bidders who have withdrawn,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
